#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
1.0,1.0,0.0,0.0,8.67306,783.17773
1.0,1.0,0.0,0.0,8.8572,792.0349
1.0,1.0,0.0,0.0,9.42018,801.4551
1.0,1.0,0.0,0.0,10.41348,811.8685
1.0,1.0,0.0,0.0,11.93016,823.7987
1.0,1.0,0.0,0.0,15.19782,838.9965
1.0,1.0,0.0,0.0,22.58652,861.58307
1.0,1.0,0.0,0.0,36.83922,898.4223
1.0,1.0,0.0,0.0,26.4264,924.8487
1.0,1.0,0.0,0.0,17.08806,941.93677
1.0,1.0,0.0,0.0,12.26148,954.19824
1.0,1.0,0.0,0.0,10.35672,964.55493
1.0,1.0,0.0,0.0,9.28488,973.8398
1.0,1.0,0.0,0.0,8.6724,982.5122
1.0,1.0,0.0,0.0,8.32458,990.8368
1.0,1.0,0.0,0.0,8.22822,999.065
1.0,1.0,0.0,0.0,8.24076,1007.3058
1.0,1.0,0.0,0.0,8.12922,1015.435
1.0,1.0,0.0,0.0,8.48298,1023.91797
1.0,1.0,0.0,0.0,8.6592,1032.5771
1.0,1.0,0.0,0.0,9.2829,1041.8601
1.0,1.0,0.0,0.0,10.00296,1051.863
1.0,1.0,0.0,0.0,11.62722,1063.4902
1.0,1.0,0.0,0.0,14.28306,1077.7733
1.0,1.0,0.0,0.0,18.98094,1096.7543
1.0,1.0,0.0,0.0,25.74264,1122.497
1.0,1.0,0.0,0.0,35.88948,1158.3865
1.0,1.0,0.0,0.0,13.77156,1172.1581
1.0,1.0,0.0,0.0,10.23792,1182.396
1.0,1.0,0.0,0.0,9.38454,1191.7805
1.0,1.0,0.0,0.0,8.80572,1200.5862
1.0,1.0,0.0,0.0,8.53578,1209.122
1.0,1.0,0.0,0.0,8.3292,1217.4512
1.0,1.0,0.0,0.0,8.2929,1225.744
1.0,1.0,0.0,0.0,8.40444,1234.1484
1.0,1.0,0.0,0.0,8.58264,1242.7311
1.0,1.0,0.0,0.0,8.80308,1251.5342
1.0,1.0,0.0,0.0,9.27828,1260.8125
1.0,1.0,0.0,0.0,10.03464,1270.8472
1.0,1.0,0.0,0.0,11.39292,1282.2401
1.0,1.0,0.0,0.0,13.17228,1295.4124
1.0,1.0,0.0,0.0,16.08288,1311.4952
1.0,1.0,0.0,0.0,17.82594,1329.3212
1.0,1.0,0.0,0.0,15.9621,1345.2833
1.0,1.0,0.0,0.0,13.66596,1358.9493
1.0,1.0,0.0,0.0,11.48598,1370.4353
1.0,1.0,0.0,0.0,10.4214,1380.8567
1.0,1.0,0.0,0.0,9.79242,1390.6492
1.0,1.0,0.0,0.0,9.44988,1400.099
1.0,1.0,0.0,0.0,9.26508,1409.3641
1.0,1.0,0.0,0.0,9.1905,1418.5547
1.0,1.0,0.0,0.0,9.30072,1427.8555
1.0,1.0,0.0,0.0,9.28488,1437.1404
1.0,1.0,0.0,0.0,9.75348,1446.8939
1.0,1.0,0.0,0.0,10.15344,1457.0474
1.0,1.0,0.0,0.0,10.82664,1467.874
1.0,1.0,0.0,0.0,11.88,1479.754
1.0,1.0,0.0,0.0,14.10222,1493.8562
1.0,1.0,0.0,0.0,17.5329,1511.3892
1.0,1.0,0.0,0.0,27.45468,1538.8439
1.0,1.0,0.0,0.0,32.49048,1571.3344
