#Firmware: MS2/Extra 3.4.4 release  20201006 18:17BST(c)KC/JSM/JB    uS
PriLevel,SecLevel,Trigger,Sync,ToothTime,Time
Flag,Flag,Flag,Flag,ms,ms
0.0,1.0,0.0,0.0,6.23832,643.06116
1.0,1.0,0.0,0.0,4.1613,647.2225
0.0,1.0,0.0,0.0,6.5604,653.7829
1.0,1.0,0.0,0.0,5.0061,658.789
0.0,1.0,0.0,0.0,5.9763,664.7653
1.0,1.0,0.0,0.0,8.22624,672.9916
0.0,1.0,0.0,0.0,9.4116,682.4032
1.0,1.0,0.0,0.0,6.49902,688.9022
0.0,1.0,0.0,0.0,9.33834,698.24054
1.0,1.0,0.0,0.0,15.46248,713.703
0.0,1.0,0.0,0.0,7.1181,720.8211
1.0,1.0,0.0,0.0,4.03986,724.86096
0.0,1.0,0.0,1.0,4.77048,729.6315
1.0,1.0,0.0,1.0,3.84054,733.472
0.0,1.0,0.0,1.0,4.67346,738.14545
1.0,1.0,0.0,1.0,3.12378,741.2692
0.0,1.0,0.0,1.0,4.76916,746.0384
1.0,1.0,0.0,1.0,1.93644,747.97485
0.0,1.0,0.0,1.0,5.76114,753.736
1.0,1.0,0.0,1.0,2.31198,756.048
0.0,1.0,0.0,1.0,4.94604,760.994
1.0,1.0,0.0,1.0,1.63284,762.62683
0.0,1.0,0.0,1.0,5.83242,768.4592
1.0,1.0,0.0,1.0,1.6764,770.1356
0.0,1.0,0.0,1.0,2.16348,772.2991
1.0,1.0,0.0,1.0,1.8249,774.12396
0.0,1.0,0.0,1.0,1.4223,775.54626
1.0,1.0,0.0,1.0,1.49556,777.0418
0.0,1.0,0.0,1.0,6.07992,783.1217
1.0,1.0,0.0,1.0,1.85922,784.9809
0.0,1.0,0.0,1.0,5.17572,790.1566
1.0,1.0,0.0,1.0,2.10012,792.2567
0.0,1.0,0.0,1.0,6.1017,798.3584
1.0,1.0,0.0,1.0,2.34036,800.6987
0.0,1.0,0.0,1.0,5.25228,805.951
1.0,1.0,0.0,1.0,4.4319,810.3829
0.0,1.0,0.0,1.0,4.55928,814.94214
1.0,1.0,0.0,1.0,4.26558,819.2077
0.0,1.0,0.0,1.0,5.46414,824.6718
1.0,1.0,0.0,1.0,5.10114,829.77295
0.0,1.0,0.0,1.0,6.02976,835.80273
1.0,1.0,0.0,1.0,5.87928,841.682
0.0,1.0,0.0,1.0,6.79206,848.47406
1.0,1.0,0.0,1.0,5.2866,853.7607
0.0,1.0,0.0,1.0,6.23964,860.0003
1.0,1.0,0.0,1.0,5.30442,865.30475
0.0,1.0,0.0,1.0,5.10048,870.4052
1.0,1.0,0.0,1.0,5.1579,875.5631
0.0,1.0,0.0,1.0,4.4154,879.9785
1.0,1.0,0.0,1.0,4.99026,884.96875
0.0,1.0,0.0,1.0,4.09662,889.06537
1.0,1.0,0.0,1.0,4.9203,893.98566
